Epoch,IOU_Train,IOU_Val
0,0.5119,0.5276
1,0.5399,0.5449
2,0.5536,0.5206
3,0.5605,0.5422
4,0.5660,0.5363
5,0.5717,0.4769
6,0.5751,0.5519
7,0.5783,0.5510
8,0.5810,0.5321
9,0.5824,0.5444
10,0.5881,0.4692
11,0.5886,0.5484
12,0.5929,0.5377
13,0.5947,0.5535
14,0.5952,0.4898
15,0.5987,0.5107
16,0.5990,0.5488
17,0.6033,0.5279
18,0.6060,0.4239
19,0.6082,0.5429
20,0.6095,0.5421
21,0.6124,0.5308
22,0.6140,0.5357
23,0.6162,0.5556
24,0.6183,0.5547
25,0.6217,0.5453
26,0.6245,0.5325
27,0.6266,0.4930
28,0.6286,0.5123
29,0.6293,0.5540
30,0.6326,0.5310
31,0.6338,0.4981
32,0.6351,0.5160
33,0.6375,0.5395
34,0.6388,0.4942
35,0.6404,0.5519
36,0.6416,0.5012
37,0.6434,0.5528
38,0.6447,0.5103
39,0.6471,0.5402
40,0.6484,0.5529
41,0.6490,0.5312
42,0.6509,0.4952
43,0.6505,0.5039
44,0.6530,0.5234
45,0.6521,0.5206
46,0.6542,0.5291
47,0.6557,0.5145
48,0.6571,0.5547
49,0.6589,0.5130
50,0.6590,0.4883
51,0.6596,0.4719
52,0.6603,0.5537
53,0.6613,0.5466
54,0.6621,0.4851
55,0.6643,0.5043
56,0.6645,0.4914
57,0.6655,0.5336
58,0.6660,0.5117
59,0.6674,0.4985
60,0.6670,0.4645
61,0.6679,0.5484
62,0.6688,0.4725
63,0.6702,0.5142
64,0.6706,0.5301
65,0.6708,0.5028
66,0.6728,0.5386
67,0.6726,0.5297
68,0.6736,0.5361
69,0.6740,0.5320
70,0.6756,0.5267
71,0.6757,0.5019
72,0.6757,0.5106
73,0.6756,0.5549
74,0.6772,0.5440
75,0.6764,0.4470
76,0.6768,0.5258
77,0.6789,0.5362
78,0.6800,0.5029
79,0.6789,0.5045
80,0.6800,0.4894
