Epoch,Loss,IOU_Train,IOU_Val,Time
0,0.375110,0.5119,0.5276,27.35
1,0.330907,0.5399,0.5449,20.62
2,0.313364,0.5536,0.5206,20.58
3,0.301572,0.5605,0.5422,20.60
4,0.292203,0.5660,0.5363,20.57
5,0.283906,0.5717,0.4769,20.57
6,0.278261,0.5751,0.5519,20.59
7,0.273576,0.5783,0.5510,20.83
8,0.268693,0.5810,0.5321,20.86
9,0.266347,0.5824,0.5444,20.59
10,0.259633,0.5881,0.4692,20.61
11,0.258475,0.5886,0.5484,20.61
12,0.253363,0.5929,0.5377,20.62
13,0.251477,0.5947,0.5535,20.64
14,0.249176,0.5952,0.4898,20.69
15,0.244906,0.5987,0.5107,20.70
16,0.243175,0.5990,0.5488,20.60
17,0.239195,0.6033,0.5279,21.77
18,0.235456,0.6060,0.4239,20.66
19,0.233578,0.6082,0.5429,20.69
20,0.230966,0.6095,0.5421,21.15
21,0.227174,0.6124,0.5308,20.54
22,0.225978,0.6140,0.5357,20.59
23,0.222449,0.6162,0.5556,20.56
24,0.219121,0.6183,0.5547,20.67
25,0.215626,0.6217,0.5453,20.70
26,0.212824,0.6245,0.5325,20.64
27,0.209944,0.6266,0.4930,20.66
28,0.207356,0.6286,0.5123,20.67
29,0.206184,0.6293,0.5540,20.76
30,0.202439,0.6326,0.5310,20.62
31,0.201611,0.6338,0.4981,20.69
32,0.198840,0.6351,0.5160,20.59
33,0.197380,0.6375,0.5395,20.67
34,0.194479,0.6388,0.4942,21.24
35,0.194332,0.6404,0.5519,20.82
36,0.192894,0.6416,0.5012,20.66
37,0.190384,0.6434,0.5528,20.69
38,0.188706,0.6447,0.5103,20.61
39,0.186301,0.6471,0.5402,20.57
40,0.186082,0.6484,0.5529,20.82
41,0.185082,0.6490,0.5312,20.71
42,0.183648,0.6509,0.4952,20.86
43,0.183170,0.6505,0.5039,20.81
44,0.180376,0.6530,0.5234,20.76
45,0.182001,0.6521,0.5206,21.01
46,0.179331,0.6542,0.5291,20.72
47,0.178694,0.6557,0.5145,20.59
48,0.176965,0.6571,0.5547,20.66
49,0.175432,0.6589,0.5130,20.63
50,0.175914,0.6590,0.4883,21.09
51,0.174436,0.6596,0.4719,20.69
52,0.174310,0.6603,0.5537,20.69
53,0.173008,0.6613,0.5466,21.29
54,0.172021,0.6621,0.4851,20.64
55,0.170889,0.6643,0.5043,20.67
56,0.170608,0.6645,0.4914,20.65
57,0.169624,0.6655,0.5336,20.68
58,0.168911,0.6660,0.5117,20.69
59,0.168251,0.6674,0.4985,20.70
60,0.168135,0.6670,0.4645,20.77
61,0.167144,0.6679,0.5484,20.85
62,0.166596,0.6688,0.4725,20.56
63,0.165465,0.6702,0.5142,20.66
64,0.165300,0.6706,0.5301,20.65
65,0.165193,0.6708,0.5028,20.62
66,0.163562,0.6728,0.5386,20.62
67,0.163497,0.6726,0.5297,20.63
68,0.162611,0.6736,0.5361,20.66
69,0.162219,0.6740,0.5320,20.74
70,0.160821,0.6756,0.5267,20.62
71,0.161054,0.6757,0.5019,20.74
72,0.160703,0.6757,0.5106,20.61
73,0.160456,0.6756,0.5549,20.77
74,0.159840,0.6772,0.5440,20.75
75,0.159721,0.6764,0.4470,20.61
76,0.159406,0.6768,0.5258,20.58
77,0.157910,0.6789,0.5362,20.64
78,0.157091,0.6800,0.5029,20.65
79,0.158058,0.6789,0.5045,20.60
80,0.157298,0.6800,0.4894,20.68
81,0.156254,0.6816,0.4234,20.64
82,0.156572,0.6810,0.4842,20.64
83,0.155612,0.6820,0.4797,20.69
84,0.155512,0.6816,0.5405,20.61
85,0.155577,0.6819,0.5462,20.70
86,0.154427,0.6829,0.5052,20.71
87,0.153609,0.6846,0.5181,20.69
88,0.154375,0.6834,0.5105,20.69
89,0.154014,0.6835,0.5135,20.71
90,0.153592,0.6844,0.5401,20.68
91,0.152769,0.6852,0.4784,20.68
92,0.152399,0.6854,0.5238,20.65
93,0.152479,0.6852,0.5463,20.72
94,0.152121,0.6862,0.5195,20.73
95,0.151826,0.6856,0.4665,21.12
96,0.151585,0.6867,0.5278,21.03
97,0.151561,0.6862,0.4990,20.70
98,0.151165,0.6876,0.5162,21.00
99,0.150495,0.6874,0.5323,20.80
100,0.150339,0.6882,0.5475,20.69
101,0.150620,0.6875,0.5001,23.84
102,0.149635,0.6886,0.5235,20.71
103,0.149029,0.6896,0.5319,20.79
104,0.149573,0.6889,0.4686,20.79
105,0.149159,0.6896,0.4940,20.74
106,0.148834,0.6894,0.5278,20.70
107,0.148496,0.6899,0.5375,20.69
108,0.148388,0.6902,0.5196,21.30
